type,u,g,r,i,z,u-g,i-z
6,24.63451,23.01771,21.90973,21.83463,22.82717,1.6168,-0.99254
6,25.32671,25.61751,23.86201,22.65067,22.72614,-0.2908,-0.07547
6,25.24784,24.4728,23.17786,24.43952,22.57868,0.77504,1.86084
6,24.42548,25.37626,23.29862,23.73762,22.6409,-0.95078,1.09672
6,20.90273,18.19828,16.90246,16.37273,16.08194,2.70445,0.29079
6,23.05368,20.6946,19.27826,17.60839,16.65015,2.35908,0.95824
6,23.14167,20.63155,19.46923,18.95208,18.56152,2.51012,0.39056
6,25.32308,20.78266,19.31941,17.97385,17.24406,4.54042,0.72979
6,22.51844,24.46356,25.66239,24.85741,22.76639,-1.94512,2.09102
6,22.63676,25.54445,24.70198,24.53398,22.85951,-2.90769,1.67447
6,24.44323,23.64683,23.14962,22.19396,22.14487,0.7964,0.04909
6,22.28962,20.77605,20.22869,19.97601,19.89906,1.51357,0.07695
6,21.78057,25.29755,23.94745,24.88144,22.41403,-3.51698,2.46741
6,22.35889,25.54156,24.50704,24.87968,22.59619,-3.18267,2.28349
6,22.09447,21.42027,20.83942,20.52468,20.4258,0.6742,0.09888
6,22.22683,25.76781,25.50813,25.19002,23.10099,-3.54098,2.08903
6,25.1861,22.57334,21.29351,19.9731,19.16005,2.61276,0.81305
6,25.12259,23.02962,21.63691,20.29286,19.46562,2.09297,0.82724
6,24.93995,23.45801,24.73977,24.03746,23.56507,1.48194,0.47239
6,22.45447,22.32526,21.87469,21.34853,21.7542,0.12921,-0.40567
6,24.42184,22.23236,21.76373,21.65732,21.2817,2.18948,0.37562
6,23.72269,22.61668,21.4266,20.41201,20.04176,1.10601,0.37025
6,23.52415,23.22228,23.1775,23.51062,22.92613,0.30187,0.58449
6,25.75583,23.24666,25.3029,24.72607,21.64255,2.50917,3.08352
6,23.97117,23.39078,23.8112,23.72825,22.64836,0.58039,1.07989
6,24.5675,21.80346,20.43504,19.55288,19.08706,2.76404,0.46582
6,23.65921,23.06514,22.12601,21.65611,21.8756,0.59407,-0.21949
6,22.63107,21.87285,21.46716,21.40907,20.80079,0.75822,0.60828
6,25.97216,23.28054,23.36807,23.08618,23.56163,2.69162,-0.47545
6,24.64117,23.79263,22.55021,22.58648,21.90806,0.84854,0.67842
6,23.96903,23.72357,22.07469,20.93794,20.18633,0.24546,0.75161
6,24.97861,24.26745,22.83104,22.63558,21.93274,0.71116,0.70284
6,22.95963,23.41487,22.54382,22.11828,22.54638,-0.45524,-0.4281
6,24.19954,24.97592,23.05881,23.94949,22.6596,-0.77638,1.28989
6,23.65994,24.8298,22.77791,23.06347,21.62512,-1.16986,1.43835
6,24.16479,23.46503,21.76226,20.7801,20.2572,0.69976,0.5229
6,23.82439,23.74294,22.57278,22.44209,21.16461,0.08145,1.27748
6,25.86209,25.45505,25.79184,22.07468,22.52419,0.40704,-0.44951
6,25.87576,24.51859,25.97624,22.2902,21.64279,1.35717,0.64741
6,25.03772,25.49359,25.06542,22.61778,23.08457,-0.45587,-0.46679
6,26.11964,24.85289,24.82246,22.45071,21.93897,1.26675,0.51174
6,26.10501,23.7214,23.43867,22.34541,22.81901,2.38361,-0.4736
6,25.55346,24.47023,23.69419,22.3362,22.94785,1.08323,-0.61165
6,25.47714,25.32772,25.18666,23.90648,20.7451,0.14942,3.16138
6,18.0936,17.0764,16.87267,16.80654,16.82144,1.0172,-0.0149
6,23.51735,20.6107,19.49496,19.11592,18.94922,2.90665,0.1667
6,25.10911,21.4779,20.12482,18.65739,17.84857,3.63121,0.80882
6,23.35878,21.95003,20.45878,19.09752,18.36176,1.40875,0.73576
6,20.84238,20.25201,20.20292,20.12327,19.83446,0.59037,0.28881
6,24.14087,23.3516,22.24601,21.22154,20.86537,0.78927,0.35617
6,22.80182,22.52237,22.41094,21.907,22.3162,0.27945,-0.4092
6,24.41247,23.38242,23.28726,23.12017,22.1121,1.03005,1.00807
6,23.61447,24.30779,23.3646,23.66487,22.67769,-0.69332,0.98718
6,23.70829,22.90294,21.56687,20.80244,20.2953,0.80535,0.50714
6,24.11417,23.95567,23.15285,22.29466,22.77673,0.1585,-0.48207
6,23.94221,22.81324,22.84796,22.15553,22.65656,1.12897,-0.50103
6,25.28888,24.5478,22.79149,22.23341,22.29538,0.74108,-0.06197
6,24.65428,24.06039,22.30295,21.51631,21.52691,0.59389,-0.0106
6,24.46714,25.91606,24.80988,21.99652,22.49392,-1.44892,-0.4974
6,23.361,24.54458,25.24891,24.53559,21.04162,-1.18358,3.49397
